lat,lon,name,operator,opening_hours,,prixDiesel,prixDieselExcellium,prixEssence95,prixEssence98,prixLPG,derniereModification,url
50.8523016,14.8596877,MOL Hrádek nad Nisou,"MOL Česká republika, s.r.o.",06:00-22:00,,,,,,,,https://www.mbenzin.cz/
49.5850323,17.0896248,,,,,,,,,,,https://www.mbenzin.cz/
49.5578972,17.7461805,OMV,OMV,24/7,,,,,,,,https://www.mbenzin.cz/
49.4548914,17.1116929,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 05:00-21:00,,,,,,,,https://www.mbenzin.cz/
49.4698110,17.1184261,Shell,,,,,,,,,,https://www.mbenzin.cz/
50.0861367,12.4593821,ONO,Tank ONO s.r.o.,24/7,,,,,,,,https://www.mbenzin.cz/
50.1228185,12.5298421,MOL Kynšperk n. Ohří,"MOL Česká republika, s.r.o.",,,,,,,,,https://www.mbenzin.cz/
50.1695226,12.6481750,RoBiN OIL Sokolov,RoBiN OIL s.r.o.,24/7,,,,,,,,https://www.mbenzin.cz/
50.0588210,14.4894154,Orlen,,24/7,,,,,,,,https://www.mbenzin.cz/
49.9521704,15.1584647,,,,,,,,,,,https://www.mbenzin.cz/
51.0317778,14.4511681,MWD,MWD,,,,,,,,,https://www.mbenzin.cz/
50.0765110,14.5796606,"MOL, Štěrboholská spojka, z centra","MOL Česká republika, s.r.o.",24/7,,,,,,,,https://www.mbenzin.cz/
50.5235286,13.2372672,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",24/7,,,,,,,,https://www.mbenzin.cz/
50.9680763,14.5638241,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 05:00-22:00,,,,,,,,https://www.mbenzin.cz/
50.9492706,14.5813195,Tank ONO Rumburk,Tank ONO s.r.o.,24/7,,,,,,,,https://www.mbenzin.cz/
49.1658150,16.6312780,"Benzina - Brno, Hněvkovského","Unipetrol RPA, s.r.o. – Benzina",05:00-22:00,,,,,,,,https://www.mbenzin.cz/
50.0514397,14.5671777,"Tank Ono - ČS Praha, Dolní Měcholupy",Tank ONO s.r.o.,24/7,,,,,,,,https://www.mbenzin.cz/
50.2050420,12.2090460,Markop FL,,,,,,,,,,https://www.mbenzin.cz/
50.1650121,12.3579546,Skaldo,SKALDO a.s.,Mo-Fr 06:00-20:00,,,,,,,,https://www.mbenzin.cz/
50.4461285,13.3292719,,JP servis-OIL s.r.o.,,,,,,,,,https://www.mbenzin.cz/
49.8108396,12.4671506,Free1 GAS Pavlův Studenec - Bärnau,TOP TANK s.r.o.,off,,,,,,,,https://www.mbenzin.cz/
50.1216639,15.0826464,OMV,OMV,24/7,,,,,,,,https://www.mbenzin.cz/
50.1322988,14.8643587,MOL,,24/7,,,,,,,,https://www.mbenzin.cz/
50.1650321,14.1086401,Koloc Oil Kladno,KOLOC oil,,,,,,,,,https://www.mbenzin.cz/
50.1030143,14.5872726,Globus,"Globus ČR, v.o.s.",06:30-21:00,,,,,,,,https://www.mbenzin.cz/
50.0799259,14.6290651,"MOL, Praha 9 - Českobrodská","MOL Česká republika, s.r.o.",06:00-22:00,,,,,,,,https://www.mbenzin.cz/
50.9166645,14.6229161,Noprosu,Noprosu,24/7,,,,,,,,https://www.mbenzin.cz/
49.6009502,17.2998580,,,,,,,,,,,https://www.mbenzin.cz/
48.7805193,16.9031426,Tesco,Tesco Stores ČR a.s.,24/7,,,,,,,,https://www.mbenzin.cz/
48.8951746,16.8191957,"MOL, Velké Pavlovice","MOL Česká republika, s.r.o.",06:00-21:00,,,,,,,,https://www.mbenzin.cz/
49.7827466,13.3848023,"PapOil, Plzeň - Plaská","MOL Česká republika, s.r.o.",,,,,,,,,https://www.mbenzin.cz/
49.7811510,13.3705463,MOL,MOL Česká republika,Mo-Su 06:00-22:00,,,,,,,,https://www.mbenzin.cz/
49.7729510,13.3662611,"MOL, Plzeň Gerská","MOL Česká republika, s.r.o.",24/7,,,,,,,,https://www.mbenzin.cz/
49.7577928,13.3727813,Shell,,24/7,,,,,,,,https://www.mbenzin.cz/
49.7751287,13.3604944,"ONO - Plzeň, Studentská",Tank ONO s.r.o.,24/7,,,,,,,,https://www.mbenzin.cz/
48.8812147,16.0612733,,,,,,,,,,,https://www.mbenzin.cz/
49.9926538,14.8440362,Orlen,,05:00-22:00,,,,,,,,https://www.mbenzin.cz/
49.7464844,13.3905012,"OMV U Prazdroje, Plzeň","OMV Česká republika, s.r.o.",24/7,,,,,,,,https://www.mbenzin.cz/
49.9567846,14.0625009,OMV,"OMV Česká republika, s.r.o.",24/7,,,,,,,,https://www.mbenzin.cz/
49.9559701,14.0629998,"OMV sjezd z D5, Beroun","OMV Česká republika, s.r.o.",24/7,,,,,,,,https://www.mbenzin.cz/
50.4093920,14.2392435,Shell,,,,,,,,,,https://www.mbenzin.cz/
50.4087032,14.2361805,"Eurobit, Roudnice nad Labem",EUROBIT - čerpací stanice s.r.o.,24/7,,,,,,,,https://www.mbenzin.cz/
49.4095327,14.6864517,"KM-Prona, Tábor","KM - PRONA, a.s.",06:00-22:00,,,,,,,,https://www.mbenzin.cz/
49.3248112,13.6873165,,,Mo-Su 05:00-22:00,,,,,,,,https://www.mbenzin.cz/
49.5565734,16.0674462,Shell,,,,,,,,,,https://www.mbenzin.cz/
50.0729427,12.3614110,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 05:00-22:00,,,,,,,,https://www.mbenzin.cz/
50.3418210,14.8733741,"MOL, Strašnov - R10, směr Mladá Boleslav","MOL Česká republika, s.r.o.",24/7,,,,,,,,https://www.mbenzin.cz/
50.0592839,14.4851496,Orlen,,24/7,,,,,,,,https://www.mbenzin.cz/
49.2785607,16.2272706,,,,,,,,,,,https://www.mbenzin.cz/
50.3439570,14.8716492,"MOL, Brodce - R10, směr Praha","MOL Česká republika, s.r.o.",24/7,,,,,,,,https://www.mbenzin.cz/
49.5270545,14.8043299,Okta,OKTANnew cz,Mo-Fr 06:00-20:00; Sa 07:00-20:00; Su 08:00-20:00,,,,,,,,https://www.mbenzin.cz/
49.6088979,14.9084901,,,,,,,,,,,https://www.mbenzin.cz/
49.5731160,14.6592430,Milicin,,,,,,,,,,https://www.mbenzin.cz/
48.7557184,16.8514247,A+S,Zaris,"Mo-Fr 06:00-20:00; Sa,Su 07:00-20:00",,,,,,,,https://www.mbenzin.cz/
50.0806804,14.5383892,Shell,Shell,,,,,,,,,https://www.mbenzin.cz/
50.1035820,14.5169042,OMV,OMV,Mo-Su 06:00-22:00,,,,,,,,https://www.mbenzin.cz/
50.9136838,14.5665695,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 06:00-22:00,,,,,,,,https://www.mbenzin.cz/
49.0668332,13.7819616,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 06:00-22:00,,,,,,,,https://www.mbenzin.cz/
49.2571737,13.9137540,OMV,OMV Česká republika,24/7,,,,,,,,https://www.mbenzin.cz/
50.1348207,14.4521157,"MOL, Praha 8 - Kobylisy","MOL Česká republika, s.r.o.",24/7,,,,,,,,https://www.mbenzin.cz/
49.7463829,16.1541692,G.A.S. Petroleum,G.A.S. Petroleum Group,Mo-Su 05:00-22:00,,,,,,,,https://www.mbenzin.cz/
49.8026011,16.1715239,"Zaris, Budislav",Zaris s.r.o.,"Mo-Fr 07:00-18:00; Sa,Su 08:00-18:00",,,,,,,,https://www.mbenzin.cz/
48.9501645,14.9214698,,"Čepro, a.s.",Mo-Su 06:00-21:00,,,,,,,,https://www.mbenzin.cz/
50.9433598,14.5798056,Velta Free Shop,VELTA Free Shop s.r.o.,"Mo-Fr 07:00-19:00; Sa,Su 08:00-20:00",,,,,,,,https://www.mbenzin.cz/
49.3442564,16.4225216,ČSAD Tišnov,,,,,,,,,,https://www.mbenzin.cz/
49.5627550,16.5726325,Shell,,,,,,,,,,https://www.mbenzin.cz/
50.8013757,14.4326968,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 05:00-22:00,,,,,,,,https://www.mbenzin.cz/
50.0832378,14.4780085,"MOL, Praha 3 - Žižkov U Nákladového nádraží","MOL Česká republika, s.r.o.",05:00-22:00,,,,,,,,https://www.mbenzin.cz/
50.1510981,14.5111334,Globus,"Globus ČR, v.o.s.",24/7,,,,,,,,https://www.mbenzin.cz/
49.3975735,15.6086328,Tesco Jihlava,Tesco Stores ČR a.s.,06:00-22:00,,,,,,,,https://www.mbenzin.cz/
50.7338159,15.1578329,Shell,"Shell Czech Republic, a.s.",24/7,,,,,,,,https://www.mbenzin.cz/
49.3977618,15.6053900,EuroOil Jihlava,"Čepro, a.s.",Mo-Su 06:00-21:00,,,,,,,,https://www.mbenzin.cz/
49.3972732,15.6057024,Shell,,,,,,,,,,https://www.mbenzin.cz/
49.3310436,15.5777697,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 05:00-21:00,,,,,,,,https://www.mbenzin.cz/
49.4075008,15.5817156,Prim,PETRA s.r.o.,06:00-22:00,,,,,,,,https://www.mbenzin.cz/
50.1590053,15.4464420,Benzina - Chlumec Nad Cidlinou,"Unipetrol RPA, s.r.o. – Benzina",24/7,,,,,,,,https://www.mbenzin.cz/
50.2156096,12.1708913,F1 Gas,TOP TANK s.r.o.,24/7,,,,,,,,https://www.mbenzin.cz/
